filename,xmlid,au-name,title,au-birth,au-death,au-ids,digitalSource,firsted-yr,ref-year,title-ids,language,numwords,subgenre,narr-per,au-gender,sizeCat,reprintCount,time-slot
FRA01801_Gay,FRA01801,"Gay, Marie Françoise Sophie",Ellenore,1776,1852,viaf:27059297 wikidata:Q273200,NA,1844,1864,viaf:unavailable wikidata:missing,fr,188983,NA,homodiegetic,F,long,low,T1
FRA01902_Gaboriau,FRA01902,"Gaboriau, Émile",Monsieur Lecoq,1832,1873,viaf:100177491 wikidata:Q463513,NA,1869,1884,viaf:265154387507630970001 wikidata:Q6902552,fr,269763,NA,heterodiegetic,M,long,high,T2
FRA02001_Gilbert,FRA02001,"Gilbert, Jehan",Vers le pôle en aéroplane,1880,1940,viaf:51823427 wikidata:missing,Vers le pôle en aéroplane : roman d'aventures,1912,1912,viaf:missing wikidata:missing,fr,21626,adventure novel,heterodiegetic,M,short,low,T4
FRA02101_Girardin,FRA02101,"Girardin, Delphine de [Delphine Gay]","Marguerite, ou Deux amours",1804,1855,viaf:24601979 wikidata:Q437094,Marguerite ou deux amours,1854,1859,viaf:missing wikidata:missing,fr,69231,NA,heterodiegetic,F,medium,high,T1
FRA02201_Gouraud,FRA02201,"Gouraud, Julie [Louise d'Aulnay]",Quand je serai grande,1810,1891,viaf:31987653 wikidata:Q18115130,NA,1888,1888,oclc:559725443 viaf:unavailable wikidata:missing,fr,45701,NA,heterodiegetic,M,short,low,T3
FRA02202_Gouraud,FRA02202,"Gouraud, Julie [Louise d'Aulnay]",Le petit colporteur,1810,1891,viaf:31987653 wikidata:Q18115130,NA,1867,1867,viaf:314022921 wikidata:missing,fr,43357,NA,heterodiegetic,M,short,low,T2
FRA02203_Gouraud,FRA02203,"Gouraud, Julie [Louise d'Aulnay]",Les Filles du professeur,1810,1891,viaf:31987653 wikidata:Q18115130,NA,1876,1876,viaf:unavailable wikidata:missing,fr,45477,NA,heterodiegetic,M,short,low,T2
FRA02301_Greville,FRA02301,"Gréville, Henry [Alice Marie Céleste Fleury, dite Durand]",La seconde mère,1842,1902,viaf:49258322 wikidata:Q2266038,NA,1888,NA,viaf:missing wikidata:missing,fr,60048,NA,heterodiegetic,F,medium,low,T3
FRA02302_Greville,FRA02302,"Gréville, Henry [Alice Marie Céleste Fleury, dite Durand]",L'amie,1842,1902,viaf:49258322 wikidata:Q2266038,L'amie,1878,1878,viaf:missing wikidata:missing,fr,56987,NA,heterodiegetic,F,medium,low,T2
FRA02303_Greville,FRA02303,"Gréville, Henry [Alice Marie Céleste Fleury, dite Durand]",Ariadne,1842,1902,viaf:49258322 wikidata:Q2266038,Ariadne,1878,1879,viaf:missing wikidata:missing,fr,52698,NA,heterodiegetic,F,short,low,T2
FRA02401_LeRouge,FRA02401,"Le Rouge, Gustave",L'Esclave amoureuse,1867,1938,viaf:7392910 wikidata:Q2409143,NA,1904,NA,viaf:unavailable wikidata:missing,fr,25038,NA,heterodiegetic,M,short,low,T4
FRA02501_Loti,FRA02501,"Loti, Pierre",Mon frère Yves,1850,1923,viaf:89440078 wikidata:Q311854,NA,1883,NA,viaf:294701732 wikidata:missing,fr,73698,NA,homodiegetic,M,medium,high,T3
FRA02601_Malot,FRA02601,"Malot, Hector",Romain Kalbris,1830,1907,viaf:49228546 wikidata:Q315003,NA,1869,1884,viaf:312349317 wikidata:Q21426780,fr,70236,NA,autodiegetic,M,medium,high,T2
