filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	ref-year	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
ENG18400_Trollope	ENG18400	Trollope, Frances Milton	The Life and Adventures of Michael Armstrong	1780	1863	viaf:34551336	NA	NA	1840	NA	eng	207300	NA	NA	F	long	low	T1
ENG18410_Sinclair	ENG18410	Sinclair, Catherine	"Modern Flirtations: or, A Month at Harrowgate : ELTeC
                                        edition"	1800	1864	viaf:37692813	"Modern Flirtations, A Novel, by
                                                Catherine Sinclair—A Project Gutenberg eBook"	NA	1841	NA	eng	188876	NA	NA	F	long	low	T1
ENG18411_Tupper	ENG18411	                                                 	"The Twins: A Domestic Novel : ELTeC
                                                  edition"	1810	1889	viaf:44385259	"The Project
                                                  Gutenberg eBook of The Twins, by Martin Farquhar
                                                  Tupper, A.M., F.R.S.."	1844.	NA	NA	eng	34573	NA	NA	M	short	low	T1
ENG18440_Disraeli	ENG18440	Disraeli, Benjamin	Coningsby: or, The New Generation	1804	1881	viaf:49233448	Coningsby: or, The New Generation	NA	1844	NA	eng	159046	NA	NA	M	long	low	T1
ENG18460_Reynolds	ENG18460	Reynolds, George William McArthur	The mysteries of London	1814	1879	viaf:72764995	"The Project Gutenberg eBook of The Mysteries of London; [two volumes] by George W. M.
      Reynolds."	1846	NA	NA	en	839895	NA	NA	M	long	low	T1
ENG18470_Aguilar	ENG18470	                                                 	"Home Influence: A Tale for Mothers and
                                                  Daughters"	1816	1847	viaf:7628015	"The
                                                  Project Gutenberg EBook of Home Influence, by
                                                  Grace Aguilar"	NA	1847	NA	eng	171250	NA	NA	F	long	low	T1
ENG18471_Bronte	ENG18471	Brontë, Emily	Wuthering Heights	1818	1848	viaf:97097302	"Wuthering Heights (1st edition) : wikisource
                        edition"	1847	NA	NA	en	115398	NA	NA	F	long	high	T1
ENG18480_Thackeray	ENG18480	Thackeray, William Makepeace	Vanity Fair: A Novel without a Hero	1811	1863	viaf:95208604	Vanity Fair, A Novel without a Hero. Vols. V & VI	NA	1848	NA	en	298740	NA	NA	M	long	high	T1
ENG18482_Gaskell	ENG18482	                                                  Cleghorn	"Mary Barton: A Tale of Manchester Life :
                                                  ELTeC edition"	1810	1865	viaf:39377536	"The Project
                                                  Gutenberg eBook of Mary Barton, by Elizabeth
                                                  Cleghorn Gaskell"	NA	1848	NA	eng	161538	NA	NA	F	long	high	T1
ENG18490_Skene	ENG18490	Skene, Felicia	The Inheritance of Evil	1821	1899	viaf:26018946	"The Inheritance of Evil, Or, the Consequence of
                        Marrying a Deceased Wife’s Sister : VWWP edition "	1849	NA	NA	eng	39873	NA	NA	F	short	low	T1
ENG18500_Ainsworth	ENG18500	Ainsworth, William Harrison	Auriol, or The elixir of life	1805	1822	viaf:46894596	Auriol or the elixir of life	1850	NA	NA	en	46373	NA	NA	M	short	low	T1
ENG18510_Kingsley	ENG18510	Kingsley, Charles	Yeast: A Problem	1819	1875	viaf:27081838	"The Project Gutenberg eBook, Yeast: A
      Problem"	1851	NA	NA	eng	95902	NA	NA	M	medium	low	T1
ENG18511_Skene	ENG18511	Skene, Felicia	The Tutor’s Ward	1821	1899	viaf:26018946	"The Tutor’s Ward : VWWP edition
                        "	1851	NA	NA	eng	99479	NA	NA	F	medium	low	T1
ENG18530_Dickens	ENG18530	Dickens, Charles	Bleak House	1812	1870	viaf:88666393	Bleak House [monthly parts] : TEI P5 edition	NA	1853	NA	eng	325604	NA	NA	M	long	high	T1
ENG18531_Yonge	ENG18531	                                                 	The Heir of Redclyffe	1823	1901	viaf:71399881	"The Heir of
                                                  Redclyffe"	NA	1853	NA	eng	233764	NA	NA	F	long	low	T1
ENG18540_Dickens	ENG18540	                                                 	"Hard Times: For These Times : ELTeC
                                                  edition"	1812	1870	viaf:88666393	"Hard Times, by
                                                  Charles Dickens"	1854	1905	NA	eng	104105	NA	NA	M	long	high	T1
ENG18552_Kavanagh	ENG18552	Kavanagh, Julia	Rachel Gray 	1824	1877	viaf:89854315	"The Project Gutenberg eBook, Rachel Gray, by Julia
            Kavanagh"	1856	NA	NA	eng	48639	NA	NA	F	short	low	T1
ENG18560_Yonge	ENG18560	Yonge, Charlotte Mary	The Daisy Chain	1823	1901	viaf:71399881	The Daisy Chain	1856	NA	NA	eng	296590	NA	NA	F	long	low	T1
ENG18570_Bronte	ENG18570	Brontë, Charlotte	The Professor: A Tale 	1816	1855	viaf:71388025	"The Professor, by (aka Charlotte Bronte) Currer
      Bell"	1857	NA	NA	eng	87978	NA	NA	F	medium	high	T1
ENG18600_Clive	ENG18600	Clive, Caroline Wigley	Why Paul Ferroll Killed His Wife	1801	1873	viaf:3337325	"Why Paul Ferroll Killed His Wife : VWWP edition
      "	NA	1860	NA	eng	56726	NA	NA	F	medium	low	T2
ENG18631_Oliphant	ENG18631	Oliphant, Margaret	Heart and Cross 	1828	1897	viaf:49256072	"The Project Gutenberg eBook of Heart and Cross, by Mrs.
      Oliphant.."	1863	NA	NA	eng	48020	NA	NA	F	short	low	T2
ENG18632_Reade	ENG18632	Reade, Charles	Hard Cash. A matter of fact romance 	1814	1884	viaf:44314913	Hard Cash, by Charles Reade	1863	1895	NA	eng	259251	NA	NA	M	long	low	T2
ENG18640_Blackmore	ENG18640	Blackmore, Richard Doddridge	Clara Vaughan	1825	1900	viaf:59105182	Clara Vaughan by R.D. Blackmore (3 volumes)	1864	NA	NA	en	195823	NA	NA	M	long	low	T2
ENG18641_Stretton	ENG18641	                        	Fern's Hollow 	1832	1911	viaf:29892399	"The Project Gutenberg eBook of Fern's Hollow,
                              by Hesba Stretton."	1864	NA	NA	eng	44735	NA	NA	F	short	low	T2
ENG18650_Trollope	ENG18650	Trollope, Anthony	Can You Forgive Her?	1815	1882	viaf:61683295	The Project Gutenberg eBook of Can You Forgive Her?	NA	1865	NA	en	305740	NA	NA	M	long	high	T2
ENG18652_Carroll	ENG18652	Carroll, Lewis [pseud.]	Alice's Adventures in Wonderland	1832	1898	viaf:66462036	Alice's Adventures in Wonderland, by Lewis Carroll	1865	1869	NA	eng	26391	NA	NA	M	short	high	T2
ENG18660_Eliot	ENG18660	Eliot, George [pseud.]	Felix Holt, the Radical	1819	1880	viaf:89000553	Felix Holt, the Radical	NA	1866	NA	eng	181371	NA	NA	F	long	high	T2
ENG18670_Ouida	ENG18670	   	"Under Two Flags: A Story of the Household and
    the Desert"	1839	1908	viaf:34490941	"Under Two Flags: A
    Story of the Household and the
    Desert"	NA	1867	NA	eng	246466	NA	NA	F	long	high	T2
ENG18700_Oliphant	ENG18700	Oliphant, Laurence	Piccadilly	1829	1888	viaf:17265739	"The Project Gutenberg EBook of Piccadilly, by
                        Laurence Oliphant"	1870	NA	NA	en	70524	NA	NA	M	medium	low	T2
ENG18701_Craig	ENG18701	Craig, Isa	Esther West: a Story	1831	1903	viaf:121952028	Esther West: a Story 	NA	1870	NA	eng	101345	NA	NA	F	long	low	T2
ENG18702_Jenkins	ENG18702	Jenkins, John Edward	Ginx's Baby: His Birth and Other Misfortunes 	1838	1910	viaf:24837293	Ginx's Baby, by Edward Jenkins	1871	NA	NA	eng	31902	NA	NA	M	short	low	T2
ENG18720_Lynn	ENG18720	Linton, Elizabeth Lynn	The True History of Joshua Davidson	1822	1898	viaf:7521381	"The True History of Joshua Davidson : VWWP edition
      "	1872	1873	NA	eng	38286	NA	NA	F	short	low	T2
