filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	ref-year	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
ENG18400_Trollope	ENG18400	Trollope, Frances Milton	The Life and Adventures of Michael Armstrong	1780	1863	viaf:34551336	NA	NA	1840	NA	eng	207300	NA	NA	F	long	NA	T1
ENG18410_Sinclair	ENG18410	Sinclair, Catherine	Modern Flirtations: or, A Month at Harrowgate	1800	1864	https://viaf.org/viaf/37692813/	"Modern Flirtations, A Novel, by Catherine Sinclair—A Project
      Gutenberg eBook"	1841	NA	NA	eng	188876	NA	NA	F	long	low	T1
ENG18411_Tupper	ENG18411	                                                 	"The Twins: A Domestic Novel : ELTeC
                                                  edition"	1810	1889	https://viaf.org/viaf/44385259/	"The Project
                                                  Gutenberg eBook of The Twins, by Martin Farquhar
                                                  Tupper, A.M., F.R.S.."	1844.	NA	NA	eng	34573	NA	NA	M	short	low	T1
ENG18440_Disraeli	ENG18440	Disraeli, Benjamin	Coningsby: or, The New Generation	1804	1881	https://viaf.org/viaf/49233448/	Coningsby: or, The New Generation	1844	NA	NA	eng	159046	NA	NA	M	long	low	T1
ENG18450_Disraeli	ENG18450	Disraeli, Benjamin	Sybil, Or the Two Nations	1804	1881	https://viaf.org/viaf/49233448/	"The Project Gutenberg EBook of Sybil, by Benjamin
      Disraeli"	1845	NA	NA	en	158160	NA	NA	M	long	low	T1
ENG18460_Reynolds	ENG18460	    	The mysteries of London	1814	1879	https://viaf.org/viaf/72764995/	"The Project Gutenberg eBook of The Mysteries of London; [two volumes] by George W. M.
      Reynolds."	1846	NA	NA	en	839895	NA	NA	M	long	low	T1
ENG18470_Aguilar	ENG18470	Aguilar, Grace	Home Influence: A Tale for Mothers and Daughters	1816	1847	https://viaf.org/viaf/7628015/	"The Project Gutenberg EBook of Home Influence, by Grace
     Aguilar"	1847	NA	NA	eng	171250	NA	NA	F	long	low	T1
ENG18471_Bronte	ENG18471	Brontë, Emily	Wuthering Heights	1818	1848	https://viaf.org/viaf/97097302/	"Wuthering Heights (1st edition) : wikisource
                        edition"	1847	NA	NA	en	115398	NA	NA	F	long	high	T1
ENG18480_Thackeray	ENG18480	Thackeray, William Makepeace	Vanity Fair: A Novel without a Hero	1811	1863	https://viaf.org/viaf/95208604/	Vanity Fair, A Novel without a Hero. Vols. V & VI	1848	NA	NA	en	298740	NA	NA	M	long	high	T1
ENG18481_Dickens	ENG18481	Dickens, Charles	Dombey and Son	1812	1870	https://viaf.org/viaf/88666393/	Dombey and Son	1848	NA	NA	en	348793	NA	NA	M	long	high	T1
ENG18482_Gaskell	ENG18482	Gaskell, Elizabeth Cleghorn	Mary Barton: A Tale of Manchester Life	1810	1865	https://viaf.org/viaf/39377536/	"The Project Gutenberg eBook of Mary Barton, by Elizabeth
      Cleghorn Gaskell"	1848	NA	NA	eng	161538	NA	NA	F	long	high	T1
ENG18490_Skene	ENG18490	Skene, Felicia	The Inheritance of Evil	1821	1899	https://viaf.org/viaf/26018946/	"The Inheritance of Evil, Or, the Consequence of
                        Marrying a Deceased Wife’s Sister : VWWP edition "	1849	NA	NA	eng	39873	NA	NA	F	short	low	T1
ENG18500_Ainsworth	ENG18500	Ainsworth, William Harrison	Auriol, or The elixir of life	1805	1822	https://viaf.org/viaf/46894596/	Auriol or the elixir of life	1850	NA	NA	en	46373	NA	NA	M	short	low	T1
ENG18510_Kingsley	ENG18510	Kingsley, Charles	Yeast: A Problem	1819	1875	https://viaf.org/viaf/27081838/	"The Project Gutenberg eBook, Yeast: A
      Problem"	1851	NA	NA	eng	95902	NA	NA	M	medium	low	T1
ENG18530_Dickens	ENG18530	Dickens, Charles	Bleak House	1812	1870	https://viaf.org/viaf/88666393/	Bleak House [monthly parts] : TEI P5 edition	1853	NA	NA	eng	325604	NA	NA	M	long	high	T1
ENG18531_Yonge	ENG18531	Yonge, Charlotte Mary	The Heir of Redclyffe	1823	1901	https://viaf.org/viaf/71399881/	The Heir of Redclyffe	1853	NA	NA	eng	233764	NA	NA	F	long	low	T1
ENG18540_Dickens	ENG18540	Dickens, Charles	Hard Times: For These Times	1812	1870	https://viaf.org/viaf/88666393/	Hard Times, by Charles Dickens	1854	1905	NA	eng	104105	NA	NA	M	long	high	T1
ENG18551_Trollope	ENG18551	Trollope, Anthony	The Warden	1815	1882	https://viaf.org/viaf/61683295/	"The
                                                Warden"	1855	NA	NA	en	71911	NA	NA	M	medium	high	T1
ENG18552_Kavanagh	ENG18552	Kavanagh, Julia	Rachel Gray 	1824	1877	https://viaf.org/viaf/89854315/	"The Project Gutenberg eBook, Rachel Gray, by Julia
            Kavanagh"	1856	NA	NA	eng	48639	NA	NA	F	short	low	T1
ENG18560_Yonge	ENG18560	Yonge, Charlotte Mary	The Daisy Chain	1823	1901	https://viaf.org/viaf/71399881/	The Daisy Chain	1856	NA	NA	eng	296590	NA	NA	F	long	low	T1
ENG18570_Bronte	ENG18570	Brontë, Charlotte	The Professor: A Tale 	1816	1855	https://viaf.org/viaf/71388025/	"The Professor, by (aka Charlotte Bronte) Currer
      Bell"	1857	NA	NA	eng	87978	NA	NA	F	medium	high	T1
ENG18600_Clive	ENG18600	Clive, Caroline Wigley	Why Paul Ferroll Killed His Wife	1801	1873	https://viaf.org/viaf/3337325/	"Why Paul Ferroll Killed His Wife : VWWP edition
      "	1860	NA	NA	eng	56726	NA	NA	F	medium	low	T2
ENG18610_Eliot	ENG18610	Eliot, George [pseud.]	Silas Marner: The Weaver of Raveloe	1819	1880	https://viaf.org/viaf/89000553/	"Silas Marner: The Weaver of
            Raveloe"	1861	NA	NA	en	71043	NA	NA	F	medium	high	T2
ENG18621_Braddon	ENG18621	Braddon, Mary Elizabeth	Lady Audley's Secret	1835	1915	https://viaf.org/viaf/66826682/	Lady Audley's Secret	1862	NA	NA	en	148971	NA	NA	F	long	high	T2
ENG18630_Craik	ENG18630	Craik, Dinah Marie	Mistress and Maid	1826	1887	https://viaf.org/viaf/46793285/	Gutenberg text of Mistress and Maid	1862	NA	NA	en	109497	NA	NA	F	long	low	T2
ENG18632_Reade	ENG18632	Reade, Charles	Hard Cash. A matter of fact romance 	1814	1884	https://viaf.org/viaf/44314913/	Hard Cash, by Charles Reade	1863	1895	NA	eng	259251	NA	NA	M	long	low	T2
ENG18640_Blackmore	ENG18640	Blackmore, Richard Doddridge	Clara Vaughan	1825	1900	https://viaf.org/viaf/59105182/	Clara Vaughan by R.D. Blackmore (3 volumes)	1864	NA	NA	en	195823	NA	NA	M	long	low	T2
