filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	ref-year	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
ROM001	ROM001	NA	Roșcan Haiducul. Nuvelă ilustrată cu două gravuri	NA	NA	NA	NA	1894	NA	NA	ro	9817	NA	NA	U	medium	low	T3
ROM002	ROM002	NA	Blestemul. Sfârșitul blestemului: Ediție ELTeC	NA	NA	NA	NA	1894	NA	NA	ro	30210	NA	NA	M	short	low	T3
ROM003	ROM003	 Eminescu, Mihai	 Geniu Pustiu : ediție ELTeC 	1850	1889	NA	NA	1870	1977	NA	ro	29942	NA	NA	M	short	high	T2
ROM004	ROM004	NA	 Haiducul	NA	NA	NA	Haiducul	1908	NA	NA	ro	124789	NA	NA	F	long	low	T4
ROM005	ROM005	 Macri, Panait	 Ghiță Cătănuță, căpitan de haiduci : ediție ELTeC	1863	1932	NA	NA	NA	1923 (1883)	NA	ro	28565	NA	NA	M	short	low	T3
ROM006	ROM006	Popescu, N.D.	Iancu Jianu, Haiducul : ediție ELTeC 	1843	1921	NA	NA	1873	1912	NA	ro	117922	NA	NA	M	long	low	T2
ROM007	ROM007	NA	Corbea. Istorie originală ilustrată cu 7 gravuri: ediție ELTeC	NA	NA	NA	NA	1892	1892	NA	ro	30119	NA	NA	X	short	low	T3
ROM008	ROM008	 Popescu, N.D.	 Boierii haiduci. Nuvela originală compusă de N.D. Popescu cu patru ilustrațiuni: ediție ELTeC	1843	1921	NA	NA	NA	1892 (1882)	NA	ro	31921	NA	NA	M	short	low	T3
ROM009	ROM009	Macedonski, Alexandru	THALASSA: ediție ELTeC	1854	1920	NA	Thalassa	NA	NA	NA	ro	28944	NA	NA	M	short	high	T4
ROM010	ROM010	Vlahuță, Alexandru	Dan: ediție ELTeC	1858	1919	NA	NA	1894	1964	NA	ro	63856	NA	NA	M	medium	high	T3
ROM011	ROM011	Grandea, Grigore H.	Fulga sau ideal și real : ediție ELTeC	1843	1897	NA	NA	NA	1975 (1872)	NA	ro	29817	NA	NA	M	short	high	T2
ROM012	ROM012	Grandea, Grigore H.	Vlăsia sau ciocoii noi: ediție ELTeC	1843	1897	NA	NA	1887	1975	NA	ro	56691	NA	NA	M	medium	high	T3
ROM013	ROM013	NA	 La Gura sobei: ediție ELTeC	NA	NA	NA	NA	NA	1986 (1865)	NA	ro	56507	NA	NA	M	medium	high	T2
ROM014	ROM014	NA	 Catastihul amorului: ediție ELTeC	NA	NA	NA	NA	NA	1986 (1865)	NA	ro	26030	NA	NA	M	short	high	T2
ROM015	ROM015	NA	 Don Juanii din București: ediție ELTeC	NA	NA	NA	NA	NA	1974 (1861-l862)	NA	ro	22860	NA	NA	M	short	high	T2
ROM016	ROM016	 Bolintineanu, Dimitrie	 Manoil: ediție ELTeC	1819	1872	NA	NA	NA	1984 (1855)	NA	ro	36282	NA	NA	M	short	high	T1
ROM017	ROM017	 Bolintineanu, Dimitrie	 Elena. Roman original de datine politic filosofic: ediție ELTeC	1819	1872	NA	NA	1862	1984	NA	ro	65702	NA	NA	M	medium	high	T2
ROM018	ROM018	 Bolintineanu, Dimitrie	 Doritorii nebuni: ediție ELTeC	1819	1872	NA	NA	NA	1984 (1864)	NA	ro	60232	NA	NA	M	medium	low	T2
ROM019	ROM019	Demetrius, V.	 Matei Dumbărău. Roman: ediție ELTeC 	1878	1942	NA	NA	1920	NA	NA	ro	38783	NA	NA	M	short	low	T4
ROM020	ROM020	Demetrius, V.	 Oraşul bucuriei. Roman: ediție ELTeC 	1878	1942	NA	NA	1920 (1920)	NA	NA	ro	42607	NA	NA	M	short	low	T4
ROM021	ROM021	Demetrius, V.	Păcatul Rabinului. Roman: ediție ELTeC 	1878	1942	NA	NA	1920 (1920)	NA	NA	ro	23575	NA	NA	M	short	low	T4
ROM022	ROM022	MACRI, P.	 HAIDUCUL TANDURA. SCRIERE ORIGINAL, CU ADAUSE SI MODIFICARI: ediție ELTeC 	1863	1932	NA	NA	1930 (1894)	NA	NA	ro	29807	NA	NA	M	short	low	T3
ROM023	ROM023	 Ighel, Ilie	 Tîlharul Fulger. Roman criminal : ediție ELTeC 	1870	1938	NA	NA	NA	1892 (1892)	NA	ro	23370	NA	NA	M	short	low	T3
ROM024	ROM024	 Dumbravă, Bucura	 Pandurul. Ediția VIII-a : ediție ELTeC 	1868	1926	NA	NA	NA	1947 (1912)	NA	ro	111825	NA	NA	F	medium	low	T4
ROM025	ROM025	 Bujoreanu, Ioan M.	 Mistere din București : ediție ELTeC 	1834	1899	NA	NA	1862	1984	NA	ro	150879	NA	NA	M	long	low	T2
ROM026	ROM026	 Macri, P. Panait	 Bostan. Haiduc de peste Milcov : ediție ELTeC 	1863	1932	NA	NA	NA	1899 (1899)	NA	ro	35076	NA	NA	M	short	low	T3
ROM027	ROM027	Baronzi, G.	Fontana zânelor: ediție ELTeC	1828	1896	NA	NA	NA	1896	NA	ro	40841	NA	NA	M	short	low	T3
ROM028	ROM028	 Nottara, Constantin I.A.	 Suflete obosite : ediție ELTeC	1872	1923	NA	NA	(1898)1911	NA	NA	ro	56161	NA	NA	M	medium	low	T3
ROM029	ROM029	Xenopol, Nicolae	 BRAZI SI PUTREGAIU. MORAVURI PROVINCIALE	1859	1917	NA	NA	1881	1892	NA	ro	51043	NA	NA	M	medium	low	T3
ROM030	ROM030	Ianculescu de Reus, Eugenia	Spre desrobire. Roman: ELTeC Edition	1866	1938	NA	NA	1903	NA	NA	ro	42357	NA	NA	F	short	low	T4
ROM031	ROM031	Aricescu, C.D.	Mysterele Casatoriei: ediție ELTeC	1823	1886	NA	NA	1861	NA	NA	ro	127251	NA	NA	M	long	low	T2
ROM032	ROM032	 Rădulescu, G.	 Banditul Rîureanu sau un înger în infern. Roman dramatic senzațional de G. Rădulescu: ediție ELTeC	1861	1944	NA	NA	1890	1893	NA	ro	22563	NA	NA	M	short	low	T3
ROM033	ROM033	NA	 Ruxanda Haiduciasa. Nuvelă Istorică Națională: ediție ELTeC	NA	NA	NA	NA	1920	NA	NA	ro	15530	NA	NA	X	short	low	T4
ROM034	ROM034	Boerescu, C.	Aldo si Aminta: ediție ELTeC	1836	1908	NA	NA	1855	NA	NA	ro	43740	NA	NA	M	short	low	T1
ROM035	ROM035	Hodoş, Constanţa	Martirii. Roman: ELTeC Edition	1861	1934	NA	NA	1908	1928	NA	ro	35203	NA	NA	F	short	low	T4
ROM036	ROM036	NA	Voinţă. Roman: ELTeC Edition	NA	NA	NA	NA	1902	NA	NA	ro	44498	NA	NA	F	short	low	T4
ROM037	ROM037	 Popescu, N.D.	 Radu Anghel, Căpitan de Tâlhari: ediție ELTeC	1843	1921	NA	NA	1893(1903)	NA	NA	ro	55720	NA	NA	M	medium	low	T3
ROM038	ROM038	Dragomirescu, Iuliu	Cele şapte candeli. Pe Catafalc. Roman creştin: ELTeC Edition	1880	1949	NA	NA	1902	NA	NA	ro	50022	NA	NA	M	medium	low	T4
