filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	ref-year	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
SLV00024	SLV00024	Bedenek, Jakob	Od pluga do krone	1850	1916	viaf:84381657	Bedenek, Jakob. Od pluga do krone : edicija IMP	NA	1891	NA	sl	81449	NA	NA	M	medium	low	T3
SLV00048	SLV00048	Govekar, Fran	V krvi	1871	1949	viaf:51812691	Govekar, Fran. V krvi : edicija IMP	NA	1896	NA	sl	51500	NA	NA	M	medium	high	T3
SLV00058	SLV00058	Kersnik, Janko	Ciklamen	1852	1897	viaf:34746806	Kersnik, Janko. Ciklamen : edicija IMP	NA	1883	NA	sl	37437	NA	NA	M	short	high	T3
SLV00072	SLV00072	Meško, Ksaver	Kam plovemo	1874	1964	viaf:62359223	Meško, Ksaver. Kam plovemo : edicija IMP	NA	1897	NA	sl	71125	NA	NA	M	medium	high	T3
SLV00090	SLV00090	Štrukelj, Ivan	Spletke	1869	1948	conor:311191651	Štrukelj, Ivan. Spletke : edicija IMP	NA	1894	NA	sl	38581	NA	NA	M	short	low	T3
SLV00092	SLV00092	Štrukelj, Ivan	Zmota in povrat	1869	1948	conor:311191651	Štrukelj, Ivan. Zmota in povrat : edicija IMP	NA	1892	NA	sl	33297	NA	NA	M	short	low	T3
SLV00094	SLV00094	Bartel, Anton	Pomladanski vetrovi	1853	1938	viaf:10824798	Bartel, Anton. Pomladanski vetrovi : edicija IMP	NA	1881	NA	sl	65226	NA	NA	M	medium	low	T3
SLV00098	SLV00098	Koder, Anton	Luteranci	1851	1918	viaf:172847595	Koder, Anton. Luteranci : edicija IMP	NA	1883	NA	sl	42385	NA	NA	M	short	low	T3
SLV00099	SLV00099	Koder, Anton	Marjetica	1851	1918	viaf:172847595	Koder, Anton. Marjetica : edicija IMP	NA	1877	NA	sl	61988	NA	NA	M	medium	high	T2
SLV00103	SLV00103	Koder, Anton	Zvezdana	1851	1918	viaf:172847595	Koder, Anton. Zvezdana : edicija IMP	NA	1883	NA	sl	31108	NA	NA	M	short	low	T3
SLV00111	SLV00111	Detela, Fran	Pegam in Lambergar	1850	1926	viaf:61405029	Detela, Fran. Pegam in Lambergar : edicija IMP	NA	1891	NA	sl	62359	NA	NA	M	medium	high	T3
SLV00112	SLV00112	Detela, Fran	Veliki grof	1850	1926	viaf:61405029	Detela, Fran. Veliki grof : edicija IMP	NA	1885	NA	sl	45377	NA	NA	M	short	high	T3
SLV00122	SLV00122	Podmilšak, Josip	Žalost in veselje	1845	1874	viaf:305144647704454014387	Podmilšak, Josip. Žalost in veselje : edicija IMP	NA	1870	NA	sl	77352	NA	NA	M	medium	low	T2
SLV00126	SLV00126	Jaklič, Fran	Ljudska osveta	1868	1937	viaf:55376955	Jaklič, Fran. Ljudska osveta : edicija IMP	NA	1892	NA	sl	31611	NA	NA	M	short	low	T3
SLV00132	SLV00132	Maselj Podlimbarski, Fran	Gorski potoki	1852	1917	viaf:24474637	Maselj Podlimbarski, Fran. Gorski potoki : edicija IMP	NA	1895	NA	sl	34687	NA	NA	M	short	low	T3
SLV00135	SLV00135	Janežič-Kraljev, Ivan	Gospa s pristave	1855	1922	viaf:68374219	Janežič-Kraljev, Ivan. Gospa s pristave : edicija IMP	NA	1894	NA	sl	96474	NA	NA	M	medium	low	T3
SLV00136	SLV00136	Tavčar, Ivan	4000	1851	1923	viaf:100298803	Tavčar, Ivan. 4000 : edicija IMP	NA	1891	NA	sl	34186	NA	NA	M	short	high	T3
SLV00172	SLV00172	Sket, Jakob	Milko Vogrin	1852	1912	viaf:93569857	Sket, Jakob. Milko Vogrin : edicija IMP	NA	1883	NA	sl	76466	NA	NA	M	medium	low	T3
SLV00174	SLV00174	Mencinger, Janez	Abadon	1838	1912	viaf:53025627	Mencinger, Janez. Abadon : edicija IMP	NA	1893	NA	sl	94344	NA	NA	M	medium	high	T3
SLV00187	SLV00187	Kersnik, Janko	Agitator	1852	1897	viaf:34746806	Kersnik, Janko. Agitator : edicija IMP	NA	1885	NA	sl	26560	NA	NA	M	short	high	T3
SLV00194	SLV00194	Kersnik, Janko	Na Žerinjah	1852	1897	viaf:34746806	Kersnik, Janko. Na Žerinjah : edicija IMP	NA	1876	NA	sl	32757	NA	NA	M	short	high	T2
SLV00216	SLV00216	Jurčič, Josip	Rokovnjači	1844	1881	viaf:54483391	Jurčič, Josip, Kersnik, Janko. Rokovnjači : edicija IMP	NA	1881	NA	sl	49692	NA	NA	M	short	high	T3
SLV00217	SLV00217	Jurčič, Josip	Slovenski svetec in učitelj	1844	1881	viaf:54483391	Jurčič, Josip. Slovenski svetec in učitelj : edicija IMP	NA	1886	NA	sl	43280	NA	NA	M	short	high	T3
SLV00227	SLV00227	Pesjak, Luiza	Beatin dnevnik	1828	1898	viaf:307425009	Pesjak, Luiza. Beatin dnevnik : edicija IMP	NA	1887	NA	sl	30130	NA	NA	F	short	low	T3
SLV00231	SLV00231	Pajk, Pavlina	Arabela	1854	1901	viaf:260393202	Pajk, Pavlina. Arabela : edicija IMP	NA	1885	NA	sl	39063	NA	NA	F	short	low	T3
SLV00234	SLV00234	Pajk, Pavlina	Dušne borbe	1854	1901	viaf:260393202	Pajk, Pavlina. Dušne borbe : edicija IMP	NA	1896	NA	sl	26146	NA	NA	F	short	low	T3
SLV00240	SLV00240	Pajk, Pavlina	Slučaji usode	1854	1901	viaf:260393202	Pajk, Pavlina. Slučaji usode : edicija IMP	NA	1897	NA	sl	58279	NA	NA	F	medium	high	T3
SLV00273	SLV00273	Finžgar, Fran Saleški	Kvišku	1871	1962	viaf:56648253	Finžgar, Fran Saleški. Kvišku : edicija IMP	NA	1899	NA	sl	41688	NA	NA	M	short	low	T3
SLV00278	SLV00278	Detela, Fran	Trojka	1850	1926	viaf:61405029	Detela, Fran. Trojka : edicija IMP	NA	1897	NA	sl	78672	NA	NA	M	medium	high	T3
SLV00279	SLV00279	Jurčič, Josip	Cvet in sad	1844	1881	viaf:54483391	Jurčič, Josip. Cvet in sad : edicija IMP	NA	1877	NA	sl	50548	NA	NA	M	medium	high	T2
SLV00310	SLV00310	Maselj Podlimbarski, Fran	Potresna povest	1852	1917	viaf:24474637	Maselj Podlimbarski, Fran. Potresna povest : edicija IMP	NA	1903	NA	sl	36767	NA	NA	M	short	low	T4
SLV00324	SLV00324	Tavčar, Ivan	Cvetje v jeseni	1851	1923	viaf:100298803	Tavčar, Ivan. Cvetje v jeseni : edicija IMP	NA	1917	NA	sl	26476	NA	NA	M	short	high	T4
SLV00325	SLV00325	Šorli, Ivo	Štefan Zaplotnik	1877	1958	viaf:316497598	Šorli, Ivo. Štefan Zaplotnik : edicija IMP	NA	1916	NA	sl	33931	NA	NA	M	short	low	T4
SLV00345	SLV00345	Levstik, Vladimir	Blagorodje doktor Ambrož Čander	1886	1957	viaf:53731964	Levstik, Vladimir. Blagorodje doktor Ambrož Čander : edicija IMP	NA	1909	NA	sl	50219	NA	NA	M	medium	low	T4
SLV00352	SLV00352	Fatur, Lea	Komisarjeva hči	1865	1943	viaf:170052698	Fatur, Lea. Komisarjeva hči : edicija IMP	NA	1910	NA	sl	59327	NA	NA	F	medium	low	T4
SLV00355	SLV00355	Kraigher, Alojz	Mlada ljubezen	1877	1959	viaf:44335953	Kraigher, Alojz. Mlada ljubezen : edicija IMP	NA	1917	NA	sl	78814	NA	NA	M	medium	high	T4
SLV00363	SLV00363	Detela, Fran	Malo življenje	1850	1926	viaf:61405029	Detela, Fran. Malo življenje : edicija IMP	NA	1882	NA	sl	56512	NA	NA	M	medium	low	T3
SLV00364	SLV00364	Detela, Fran	Novo življenje	1850	1926	viaf:61405029	Detela, Fran. Novo življenje : edicija IMP	NA	1908	NA	sl	43466	NA	NA	M	short	high	T4
SLV00373	SLV00373	Jaklič, Fran	O, ta testament	1868	1937	viaf:55376955	Jaklič, Fran. O, ta testament : edicija IMP	NA	1900	NA	sl	57249	NA	NA	M	medium	low	T4
SLV00391	SLV00391	Zbašnik, Fran	Pisana mati	1855	1935	viaf:84281491	Zbašnik, Fran. Pisana mati : edicija IMP	NA	1909	NA	sl	70078	NA	NA	M	medium	low	T4
SLV00398	SLV00398	Cankar, Ivan	Martin Kačur	1876	1918	viaf:56657726	Cankar, Ivan. Martin Kačur : edicija IMP	NA	1906	NA	sl	40767	NA	NA	M	short	high	T4
SLV00401	SLV00401	Cankar, Ivan	Na klancu	1876	1918	viaf:56657726	Cankar, Ivan. Na klancu : edicija IMP	NA	1902	NA	sl	59654	NA	NA	M	medium	high	T4
SLV00406	SLV00406	Tavčar, Ivan	Izza kongresa	1851	1923	viaf:100298803	Tavčar, Ivan. Izza kongresa : edicija IMP	NA	1905	NA	sl	94994	NA	NA	M	medium	high	T4
SLV00410	SLV00410	Cankar, Ivan	Tujci	1876	1918	viaf:56657726	Cankar, Ivan. Tujci : edicija IMP	NA	1901	NA	sl	44260	NA	NA	M	short	high	T4
SLV00417	SLV00417	Pregelj, Ivan	Tlačani	1883	1960	viaf:22231284	Pregelj, Ivan. Tlačani : edicija IMP	NA	1915	NA	sl	71735	NA	NA	M	medium	high	T4
SLV00421	SLV00421	Trošt, Ivo	Temni oblaki	1865	1937	viaf:16146824501407630124	Trošt, Ivo. Temni oblaki : edicija IMP	NA	1895	NA	sl	32352	NA	NA	M	short	low	T3
SLV00425	SLV00425	Gruden, Josip	Na vojvodskem prestolu	1869	1922	viaf:68284771	Gruden, Josip. Na vojvodskem prestolu : edicija IMP	NA	1901	NA	sl	32791	NA	NA	M	short	low	T4
