filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	ref-year	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
SRP18520_BogobojA_DvaIdola	SRP18520	Атанацковић, Богобој	Два идола : ELTeC издање	1826	1858	viaf:8970679	NA	1852	1893	NA	sr-Cyrl	44207	NA	NA	M	short	high	T1
SRP18590_JakovI_DjuradjB	SRP18590	Игњатовић, Јаков	Ђурађ Бранковић : историческиј роман : ELTeC издање	1822	1889	viaf:4995002	NA	1859	1987	NA	sr-Cyrl	97481	NA	NA	M	medium	low	T1
SRP18620_JednaZenidba	SRP18620	Игњатовић, Јаков	Једна женидба : слика из живота : ELTeC издање	1822	1889	viaf:4995002	NA	1862	1953	NA	sr-Cyrl	20858	NA	NA	M	short	high	T2
SRP18630_JakovI_MilanN	SRP18630	Игњатовић, Јаков	Милан Наранџић : ELTeC издање	1822	1889	viaf:4995002	NA	1863	1949	NA	sr-Cyrl	88117	NA	NA	M	medium	high	T2
SRP18631_VladanDj_KocinaKrajna	SRP18631	Ђорђевић, Владан	Кочина крајина : историјски роман : ELTeC издање	1844	1930	viaf:106964101	NA	1863	NA	NA	sr-Cyrl	66347	NA	NA	M	medium	low	T2
SRP18680_JovanGM_UGostionici	SRP18680	Грчић, Јован Миленко	"У гостионици код ""Полу-звезде"" на имендан шантавог торбара : Приповетка из народног живота : ELTeC издање"	1846	1875	viaf:37742606	NA	1868	1987	NA	sr-Cyrl	19320	NA	NA	M	short	high	T2
SRP18690_GmundenskoJezero	SRP18690	Ђорђевић, Владан	Гмунденско језеро : путничка новела : ELTeC издање	1844	1930	viaf:106964101	NA	1869	NA	NA	sr-Cyrl	36543	NA	NA	M	short	low	T2
SRP18691_PantaP_KakavJeKo	SRP18691	Поповић, Панта	Какав је ко онако му и бива : приповетка из народна живота / написао за народ Панта Поповић : ELTeC издање	1843	1918	NA	NA	1869	NA	NA	sr-Cyrl	31620	NA	NA	M	short	low	T2
SRP18730_JovanS_Kaludjer	SRP18730	Суботић, Јован	Калуђер : истина и поезија : ELTeC издање	1817	1886	viaf:55020645	NA	1874	1881	NA	sr-Cyrl	64724	NA	NA	M	medium	low	T2
SRP18740_DjuraJ_Seljaci	SRP18740	Јакшић, Ђура	Сељаци : приповетка из сеоског живота, из године 1857. : ELTeC издање	1832	1878	viaf:47570198	NA	1874	?	NA	sr-Cyrl	14247	NA	NA	M	short	high	T2
