filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	ref-year	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
CS0001_1855_Stroupeznicka_Boure	CS0001	Stroupežnická, Marie	Bouře aneb oučinky zlého svědomí : vydání ELTeC	1809	1883	NA	NA	NA	1855	NA	CS	11784	NA	NA	F	short	low	T1
CS0002_1857_Janda-Cidlinsky_Jaroslav	CS0002	Janda Cidlinský, Bohumil	Jaroslav : vydání ELTeC	1831	1875	NA	NA	NA	1857	NA	CS	27738	NA	NA	M	short	low	T1
CS0003_1857_Zizala-Donovsky_Karbanik-a-rodina-jeho	CS0003	Žížala-Donovský, Václav	Karbaník a rodina jeho : vydání ELTeC	1824	1890	NA	NA	NA	1857	NA	CS	26348	NA	NA	M	short	low	T1
CS0004_1857_Ehrenberg_Vitezstvi-u-Horine	CS0004	Ehrenberg, Josef	Vítězství u Hoříně : vydání ELTeC	1815	1882	NA	NA	NA	1857	NA	CS	29716	NA	NA	M	short	low	T1
CS0005_1857_Kricensky_Lichvar-a-pokoutnik	CS0005	Křičenský, Josef Jaroslav	Lichvář a pokoutník : vydání ELTeC	1809	1886	NA	NA	NA	1857	NA	CS	39143	NA	NA	M	short	low	T1
CS0006_1857_Pravda_Krejci-Fortunat	CS0006	Pravda, František	Krejčí Fortunat : vydání ELTeC	1817	1904	NA	NA	NA	1857	NA	CS	35474	NA	NA	M	short	unspecified	T1
CS0007_1857_Prokop_Jeden-rok-z-mladeho-zivota	CS0007	NA	Jeden rok z mladého života : vydání ELTeC	NA	NA	NA	NA	NA	1857	NA	CS	33901	NA	NA	M	short	low	T1
CS0008_1858_Formanek-Cinovesky_Bitva-u-Nyrska	CS0008	Formánek-Činoveský, Jan	Bitva u Nýrska : vydání ELTeC	1809	1878	NA	NA	NA	1858	NA	CS	26395	NA	NA	M	short	low	T1
CS0009_1860_Formanek-Cinovesky_Smirena-vina	CS0009	Formánek-Činoveský, Jan	Smířená vina : vydání ELTeC	1809	1878	NA	NA	NA	1860	NA	CS	39691	NA	NA	M	short	low	T2
CS0010_1860_Sabina_Jen-tri-leta	CS0010	Sabina, Karel	Jen tři léta! : vydání ELTeC	1813	1877	NA	NA	NA	1860	NA	CS	31148	NA	NA	M	short	unspecified	T2
